exp_list,condition,nam,cue,item,stimulus,group,id,response,response_type,rt
4,inf_let,inf,let,7,пепельница,Y,Y4,пепельница,1,1417
4,inf_let,inf,let,17,верблюд,Y,Y4,верблюд,1,1374
4,inf_let,inf,let,20,календарь,Y,Y4,календарь,1,1063
4,inf_let,inf,let,29,багажник,Y,Y4,багажник,1,1436
4,inf_let,inf,let,41,жалюзи,Y,Y4,жалюзи,1,2786
4,inf_let,inf,let,39,ракетка,Y,Y4,ракетка,1,1148
4,inf_let,inf,let,46,шахматы,Y,Y4,шахматы,1,1308
4,inf_let,inf,let,50,степлер,Y,Y4,степлер,1,1054
4,inf_let,inf,let,59,автобус,Y,Y4,автобус,1,1299
4,inf_let,inf,let,64,страус,Y,Y4,страус,1,2088
4,inf_let,inf,let,69,мочалка,Y,Y4,мочалка,1,2504
4,inf_let,inf,let,75,самокат,Y,Y4,я все пропустила опять... настолько плохо,3,
4,inf_col,inf,col,10,коридор,Y,Y4,коридор,1,2240
4,inf_col,inf,col,3,глобус,Y,Y4,глобус,1,1886
4,inf_col,inf,col,11,подбородок,Y,Y4,подбородок,1,2033
4,inf_col,inf,col,21,трон,Y,Y4,трон,1,1480
4,inf_col,inf,col,26,форточка,Y,Y4,форточка,1,1389
4,inf_col,inf,col,27,намордник,Y,Y4,намордник,1,5871
4,inf_col,inf,col,42,салфетка,Y,Y4,"так, забыла, что там было, но по идее салфетка",1,
4,inf_col,inf,col,43,водопад,Y,Y4,водопад,1,1081
4,inf_col,inf,col,51,иллюминатор,Y,Y4,иллюминатор,1,15249
4,inf_col,inf,col,53,наручники,Y,Y4,наручники,1,2486
4,inf_col,inf,col,66,кенгуру,Y,Y4,кенгуру,1,1535
4,inf_col,inf,col,68,удочка,Y,Y4,,3,
4,inf_col,inf,col,76,антенна,Y,Y4,антенна,1,1907
5,ref_non,ref,non,5,акула,Y,Y5,акула,1,2470
5,ref_non,ref,non,4,официант,Y,Y5,официант,1,2505
5,ref_non,ref,non,16,скалка,Y,Y5,"каталка, как-то вот так вот",0,
5,ref_non,ref,non,22,парашют,Y,Y5,парашют,1,5111
5,ref_non,ref,non,30,телескоп,Y,Y5,,3,
5,ref_non,ref,non,36,жираф,Y,Y5,жираф,1,1117
5,ref_non,ref,non,44,фонтан,Y,Y5,фонтан,1,1423
5,ref_non,ref,non,45,кроссворд,Y,Y5,судоку,0,
5,ref_non,ref,non,54,кактус,Y,Y5,кактус,1,1574
5,ref_non,ref,non,55,стадион,Y,Y5,поле,0,
5,ref_non,ref,non,61,кобура,Y,Y5,кобура,1,1256
5,ref_non,ref,non,71,мельница,Y,Y5,мельница,1,1477
5,ref_non,ref,non,74,палитра,Y,Y5,палитра,1,3030
5,ref_let,ref,let,8,невеста,Y,Y5,невеста,1,2881
5,ref_let,ref,let,35,шприц,Y,Y5,шприц,1,1440
5,ref_let,ref,let,6,аквариум,Y,Y5,аквариум,1,2391
5,ref_let,ref,let,24,кастрюля,Y,Y5,кастрюля,1,1336
5,ref_let,ref,let,14,иероглиф,Y,Y5,иероглиф,1,1248
5,ref_let,ref,let,19,точилка,Y,Y5,точилка,1,2071
5,ref_let,ref,let,31,черепаха,Y,Y5,черепаха,1,1187
5,ref_let,ref,let,40,бинокль,Y,Y5,бинокль,1,1395
5,ref_let,ref,let,58,кепка,Y,Y5,кепка,1,1556
5,ref_let,ref,let,62,прищепка,Y,Y5,прищепка,1,6744
5,ref_let,ref,let,63,трамвай,Y,Y5,трамвай,1,5121
5,ref_let,ref,let,70,микрофон,Y,Y5,микрофон,1,1125
5,ref_let,ref,let,73,камин,Y,Y5,камин,1,1707
5,ref_col,ref,col,1,компас,Y,Y5,компас,1,1303
5,ref_col,ref,col,25,сейф,Y,Y5,сейф,1,3239
5,ref_col,ref,col,2,карета,Y,Y5,карета,1,3743
5,ref_col,ref,col,37,шашлык,Y,Y5,шашлык,1,1676
5,ref_col,ref,col,33,копилка,Y,Y5,копилка,1,1823
5,ref_col,ref,col,38,радуга,Y,Y5,радуга,1,2475
5,ref_col,ref,col,12,шланг,Y,Y5,шланг,1,2235
5,ref_col,ref,col,48,сачок,Y,Y5,сетка,0,
5,ref_col,ref,col,52,перо,Y,Y5,перо,1,1407
5,ref_col,ref,col,60,фотоаппарат,Y,Y5,фотоаппарат,1,1318
5,ref_col,ref,col,65,корсет,Y,Y5,корсет,1,1758
5,ref_col,ref,col,67,пружина,Y,Y5,пружина,1,1740
5,ref_col,ref,col,77,дуршлаг,Y,Y5,решето,0,
5,inf_non,inf,non,18,слон,Y,Y5,слон,1,1130
5,inf_non,inf,non,7,пепельница,Y,Y5,пепельница,1,7598
